"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2018","Provincie","-","Sloop","Q1","114","168","168","0","0","0,00","0","0,00","0,00","136.732,69","603.581,66"
"2018","Gemeente","-","Verbouwen of hergebruik","Q1","57","60","60","0","0","0,00","0","13.891,69","27.286,85","0,00","0,00"
"2018","Provincie","-","-","Q1","50","74","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","-","-","Verbouwen of hergebruik","Q1","17","17","17","0","0","0,00","0","260.207,70","3.224,22","0,00","0,00"
"2018","Vlaamse Overheid","-","Sloop","Q1","7","10","10","0","0","0,00","0","0,00","0,00","4.968,70","22.046,99"
"2018","RVVB","-","Sloop","Q1","2","6","6","0","0","0,00","0","0,00","0,00","861,83","6.598,41"
"2018","RVVB","-","-","Q1","0","0","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Vlaamse Overheid","-","-","Q1","0","0","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","-","Q2","2.168","2.584","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Sloop","Q2","1.606","2.501","2.501","0","0","0,00","0","0,00","0,00","992.528,12","5.860.304,82"
"2018","-","-","-","Q2","668","783","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","-","-","Sloop","Q2","381","663","663","0","0","0,00","0","0,00","0,00","355.394,55","1.123.797,27"
"2018","Provincie","-","Sloop","Q2","182","325","325","0","0","0,00","0","0,00","0,00","169.012,24","966.987,08"
"2018","Provincie","-","-","Q2","93","135","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Verbouwen of hergebruik","Q2","75","76","76","0","0","0,00","0","21.591,99","9.729,73","0,00","0,00"
"2018","-","-","Verbouwen of hergebruik","Q2","13","13","13","0","0","0,00","0","3.562,46","1.687,74","0,00","0,00"
"2018","Vlaamse Overheid","-","Sloop","Q2","9","16","16","0","0","0,00","0","0,00","0,00","25.322,40","43.470,40"
"2018","RVVB","-","Sloop","Q2","6","12","12","0","0","0,00","0","0,00","0,00","4.873,00","31.993,14"
"2018","RVVB","-","-","Q2","3","6","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Vlaamse Overheid","-","-","Q2","2","3","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Provincie","-","Verbouwen of hergebruik","Q2","1","1","1","0","0","0,00","0","132,78","90,00","0,00","0,00"
"2018","Gemeente","-","-","Q3","1.909","2.335","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Sloop","Q3","1.418","2.140","2.140","0","0","0,00","0","0,00","0,00","1.628.688,96","7.866.118,87"
"2018","-","-","-","Q3","548","670","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","-","-","Sloop","Q3","423","715","715","0","0","0,00","0","0,00","0,00","457.312,05","3.989.695,27"
