jaar,niscode,aantal_huishoudleden,aantal
2010,13036,4+,1056
2010,13037,1,1007
2010,13037,2,1526
2010,13037,3,740
2010,13037,4+,1095
2010,13040,1,6411
2010,13040,2,6334
2010,13040,3,2532
2010,13040,4+,3026
2010,13044,1,770
2010,13044,2,1039
2010,13044,3,549
2010,13044,4+,666
2010,13046,1,856
2010,13046,2,1455
2010,13046,3,678
2010,13046,4+,1007
2010,13049,1,2413
2010,13049,2,3481
2010,13049,3,1732
2010,13049,4+,2095
2010,13053,1,1561
2010,13053,2,2333
2010,13053,3,1167
2010,13053,4+,1253
2010,23002,1,3731
2010,23002,2,4175
2010,23002,3,2056
2010,23002,4+,2617
2010,23003,1,2235
2010,23003,2,3097
2010,23003,3,1583
2010,23003,4+,2353
2010,23009,1,210
2010,23009,2,261
2010,23009,3,161
2010,23009,4+,207
2010,23016,1,4528
2010,23016,2,5620
2010,23016,3,2592
2010,23016,4+,3561
2010,23023,1,735
2010,23023,2,1219
2010,23023,3,620
2010,23023,4+,753
2010,23024,1,794
2010,23024,2,1194
2010,23024,3,622
2010,23024,4+,883
2010,23025,1,4632
2010,23025,2,5046
2010,23025,3,2308
2010,23025,4+,2936
2010,23027,1,4607
2010,23027,2,5227
2010,23027,3,2446
2010,23027,4+,2941
2010,23032,1,608
2010,23032,2,853
2010,23032,3,460
2010,23032,4+,635
2010,23033,1,1179
2010,23033,2,1353
2010,23033,3,660
2010,23033,4+,984
2010,23038,1,1022
2010,23038,2,1519
2010,23038,3,752
2010,23038,4+,1104
2010,23039,1,970
2010,23039,2,1290
2010,23039,3,641
2010,23039,4+,794
2010,23044,1,1262
2010,23044,2,1848
2010,23044,3,931
2010,23044,4+,1001
2010,23045,1,1870
2010,23045,2,2593
2010,23045,3,1211
2010,23045,4+,1564
2010,23047,1,1656
2010,23047,2,1599
2010,23047,3,844
2010,23047,4+,1257
2010,23050,1,1734
2010,23050,2,2451
2010,23050,3,1295
2010,23050,4+,1748
2010,23052,1,1804
2010,23052,2,2190
2010,23052,3,961
2010,23052,4+,1416
2010,23060,1,1402
2010,23060,2,1822
2010,23060,3,969
2010,23060,4+,1181
2010,23062,1,2382
2010,23062,2,3200
2010,23062,3,1540
2010,23062,4+,2409
2010,23064,1,292
2010,23064,2,506
2010,23064,3,303
2010,23064,4+,464
2010,23077,1,3388
2010,23077,2,4307
2010,23077,3,2117
2010,23077,4+,2875
2010,23081,1,992
2010,23081,2,1647
2010,23081,3,799
2010,23081,4+,1048
2010,23086,1,1501
2010,23086,2,2064
2010,23086,3,1089
2010,23086,4+,1360
2010,23088,1,4991
2010,23088,2,4746
2010,23088,3,2410
2010,23088,4+,3769
2010,23094,1,4331
2010,23094,2,3915
2010,23094,3,1994
2010,23094,4+,2692
2010,23096,1,1870
2010,23096,2,3085
2010,23096,3,1508
2010,23096,4+,2115
2010,23097,1,916
2010,23097,2,1452
2010,23097,3,806
2010,23097,4+,1091
2010,23098,1,685
2010,23098,2,652
2010,23098,3,325
2010,23098,4+,410
2010,23099,1,1424
2010,23099,2,1549
2010,23099,3,822
2010,23099,4+,1375
2010,23100,1,608
2010,23100,2,546
2010,23100,3,302
2010,23100,4+,477
2010,23101,1,1715
2010,23101,2,2121
2010,23101,3,1122
2010,23101,4+,1913
2010,23102,1,2069
2010,23102,2,1936
2010,23102,3,1034
2010,23102,4+,1326
2010,23103,1,1424
2010,23103,2,1579
2010,23103,3,785
2010,23103,4+,1468
2010,23104,1,883
2010,23104,2,1181
2010,23104,3,605
2010,23104,4+,815
2010,23105,1,1100
2010,23105,2,1821
2010,23105,3,903
2010,23105,4+,1119
2010,24001,1,3899
2010,24001,2,4603
2010,24001,3,1941
2010,24001,4+,2117
2010,24007,1,864
2010,24007,2,1440
2010,24007,3,754
2010,24007,4+,864
2010,24008,1,558
2010,24008,2,813
2010,24008,3,435
2010,24008,4+,544
2010,24009,1,915
2010,24009,2,1252
2010,24009,3,563
2010,24009,4+,964
2010,24011,1,856
2010,24011,2,1230
2010,24011,3,558
2010,24011,4+,952
2010,24014,1,1083
2010,24014,2,1723
2010,24014,3,728
2010,24014,4+,1123
2010,24016,1,614
2010,24016,2,1024
2010,24016,3,518
2010,24016,4+,768
2010,24020,1,2909
2010,24020,2,3402
2010,24020,3,1592
2010,24020,4+,1842
2010,24028,1,526
2010,24028,2,875
2010,24028,3,452
2010,24028,4+,518
2010,24033,1,1309
2010,24033,2,1974
2010,24033,3,921
2010,24033,4+,1364
2010,24038,1,1874
2010,24038,2,2667
2010,24038,3,1217
2010,24038,4+,1977
2010,24041,1,684
2010,24041,2,874
2010,24041,3,435
2010,24041,4+,617
2010,24043,1,821
2010,24043,2,1280
2010,24043,3,587
2010,24043,4+,999
2010,24045,1,867
2010,24045,2,1215
2010,24045,3,594
2010,24045,4+,948
2010,24048,1,1040
2010,24048,2,1833
2010,24048,3,874
2010,24048,4+,1183
2010,24054,1,715
2010,24054,2,1143
2010,24054,3,563
2010,24054,4+,680
2010,24055,1,2198
2010,24055,2,2513
2010,24055,3,1272
2010,24055,4+,1753
2010,24059,1,1700
2010,24059,2,2417
2010,24059,3,1154
2010,24059,4+,1183
2010,24062,1,23227
2010,24062,2,12590
2010,24062,3,4873
2010,24062,4+,6671
2010,24066,1,1112
2010,24066,2,1992
2010,24066,3,857
2010,24066,4+,1341
2010,24086,1,913
2010,24086,2,1404
2010,24086,3,686
2010,24086,4+,1159
2010,24094,1,1477
2010,24094,2,2143
2010,24094,3,992
2010,24094,4+,1504
2010,24104,1,2158
2010,24104,2,2720
2010,24104,3,1289
2010,24104,4+,2162
2010,24107,1,4927
2010,24107,2,5150
2010,24107,3,2174
2010,24107,4+,2284
2010,24109,1,1334
2010,24109,2,2136
2010,24109,3,1067
2010,24109,4+,1194
2010,24130,1,834
2010,24130,2,1214
2010,24130,3,644
2010,24130,4+,653
2010,24133,1,620
2010,24133,2,1064
2010,24133,3,543
2010,24133,4+,596
2010,24134,1,2559
2010,24134,2,3665
2010,24134,3,1704
2010,24134,4+,1709
2010,24135,1,1049
2010,24135,2,1451
2010,24135,3,732
2010,24135,4+,949
2010,24137,1,402
