jaar,niscode,aantal_huishoudleden,aantal
2016,73098,1,750
2016,73098,2,1132
2016,73098,3,595
2016,73098,4+,581
2016,73107,1,3983
2016,73107,2,4920
2016,73107,3,2608
2016,73107,4+,3516
2016,73109,1,481
2016,73109,2,607
2016,73109,3,253
2016,73109,4+,357
2017,11001,1,1530
2017,11001,2,2387
2017,11001,3,868
2017,11001,4+,1160
2017,11002,1,102249
2017,11002,2,63935
2017,11002,3,26143
2017,11002,4+,41816
2017,11004,1,1397
2017,11004,2,1835
2017,11004,3,748
2017,11004,4+,1194
2017,11005,1,2529
2017,11005,2,2323
2017,11005,3,1062
2017,11005,4+,1503
2017,11007,1,1517
2017,11007,2,1624
2017,11007,3,688
2017,11007,4+,828
2017,11008,1,4618
2017,11008,2,6026
2017,11008,3,2261
2017,11008,4+,3120
2017,11009,1,2619
2017,11009,2,4397
2017,11009,3,1908
2017,11009,4+,2582
2017,11013,1,3169
2017,11013,2,3399
2017,11013,3,1259
2017,11013,4+,1774
2017,11016,1,1892
2017,11016,2,2724
2017,11016,3,1105
2017,11016,4+,1795
2017,11018,1,1311
2017,11018,2,1550
2017,11018,3,752
2017,11018,4+,1000
2017,11021,1,851
2017,11021,2,1164
2017,11021,3,447
2017,11021,4+,788
2017,11022,1,1969
2017,11022,2,2696
2017,11022,3,1068
2017,11022,4+,1736
2017,11023,1,2990
2017,11023,2,4172
2017,11023,3,1605
2017,11023,4+,2324
2017,11024,1,2319
2017,11024,2,3115
2017,11024,3,1240
2017,11024,4+,1951
2017,11025,1,786
2017,11025,2,1247
2017,11025,3,575
2017,11025,4+,834
2017,11029,1,3954
2017,11029,2,3462
2017,11029,3,1524
2017,11029,4+,2201
2017,11030,1,1284
2017,11030,2,1408
2017,11030,3,671
2017,11030,4+,892
2017,11035,1,1903
2017,11035,2,2902
2017,11035,3,1157
2017,11035,4+,1733
2017,11037,1,1597
2017,11037,2,2219
2017,11037,3,969
2017,11037,4+,1346
2017,11038,1,919
2017,11038,2,1246
2017,11038,3,578
2017,11038,4+,700
2017,11039,1,1965
2017,11039,2,3149
2017,11039,3,1170
2017,11039,4+,1714
2017,11040,1,4179
2017,11040,2,5251
2017,11040,3,2150
2017,11040,4+,2877
2017,11044,1,2014
2017,11044,2,2992
2017,11044,3,1221
2017,11044,4+,1536
2017,11050,1,1197
2017,11050,2,1503
2017,11050,3,589
2017,11050,4+,784
2017,11052,1,1342
2017,11052,2,1937
2017,11052,3,832
2017,11052,4+,1072
2017,11053,1,1923
2017,11053,2,2928
2017,11053,3,1210
2017,11053,4+,2002
2017,11054,1,1359
2017,11054,2,2050
2017,11054,3,773
2017,11054,4+,1118
2017,11055,1,2206
2017,11055,2,3282
2017,11055,3,1273
2017,11055,4+,1986
2017,11056,1,2449
2017,11056,2,3012
2017,11056,3,1209
2017,11056,4+,1472
2017,11057,1,1650
2017,11057,2,2126
2017,11057,3,909
2017,11057,4+,1408
2017,12002,1,1275
2017,12002,2,1740
2017,12002,3,780
2017,12002,4+,946
2017,12005,1,1500
2017,12005,2,2153
2017,12005,3,892
2017,12005,4+,1372
2017,12007,1,2517
2017,12007,2,3382
2017,12007,3,1308
2017,12007,4+,1776
2017,12009,1,2179
2017,12009,2,2528
2017,12009,3,1002
2017,12009,4+,1492
2017,12014,1,5067
2017,12014,2,6697
2017,12014,3,2874
2017,12014,4+,3415
2017,12021,1,5427
2017,12021,2,5390
2017,12021,3,2121
2017,12021,4+,2754
2017,12025,1,12613
2017,12025,2,11312
2017,12025,3,4583
2017,12025,4+,7600
2017,12026,1,2426
2017,12026,2,3491
2017,12026,3,1530
2017,12026,4+,1956
2017,12029,1,2023
2017,12029,2,2757
2017,12029,3,1109
2017,12029,4+,1454
2017,12035,1,2038
2017,12035,2,2930
2017,12035,3,1219
2017,12035,4+,1905
2017,12040,1,3052
2017,12040,2,3487
2017,12040,3,1593
2017,12040,4+,2378
2017,12041,1,2731
2017,12041,2,3711
2017,12041,3,1641
2017,12041,4+,2316
2017,13001,1,1397
2017,13001,2,1917
2017,13001,3,724
2017,13001,4+,1279
2017,13002,1,337
2017,13002,2,371
2017,13002,3,153
2017,13002,4+,261
2017,13003,1,2437
2017,13003,2,3433
2017,13003,3,1496
2017,13003,4+,1926
2017,13004,1,1695
2017,13004,2,2599
2017,13004,3,1140
2017,13004,4+,1695
2017,13006,1,980
2017,13006,2,1493
2017,13006,3,577
2017,13006,4+,858
2017,13008,1,5278
2017,13008,2,5890
2017,13008,3,2432
2017,13008,4+,3264
2017,13010,1,1228
2017,13010,2,1746
2017,13010,3,798
2017,13010,4+,922
2017,13011,1,4028
2017,13011,2,4447
2017,13011,3,1891
2017,13011,4+,2029
2017,13012,1,1024
2017,13012,2,1436
2017,13012,3,598
2017,13012,4+,703
2017,13013,1,1550
2017,13013,2,2285
2017,13013,3,979
2017,13013,4+,1199
2017,13014,1,2260
2017,13014,2,3101
2017,13014,3,1214
2017,13014,4+,2015
2017,13016,1,1224
2017,13016,2,1585
2017,13016,3,736
2017,13016,4+,841
2017,13017,1,1957
2017,13017,2,2830
2017,13017,3,1162
2017,13017,4+,1638
2017,13019,1,1698
2017,13019,2,2484
2017,13019,3,999
2017,13019,4+,1510
2017,13021,1,1176
2017,13021,2,1618
2017,13021,3,683
2017,13021,4+,839
2017,13023,1,703
2017,13023,2,1174
2017,13023,3,480
2017,13023,4+,873
2017,13025,1,4719
2017,13025,2,5564
2017,13025,3,2219
2017,13025,4+,3012
2017,13029,1,1363
2017,13029,2,1905
2017,13029,3,785
2017,13029,4+,1096
2017,13031,1,1248
2017,13031,2,2145
2017,13031,3,798
2017,13031,4+,1213
2017,13035,1,1495
2017,13035,2,2245
2017,13035,3,924
2017,13035,4+,1356
2017,13036,1,1074
2017,13036,2,1709
2017,13036,3,662
2017,13036,4+,1059
2017,13037,1,1172
2017,13037,2,1648
2017,13037,3,692
2017,13037,4+,1175
2017,13040,1,6914
2017,13040,2,6552
2017,13040,3,2522
2017,13040,4+,3344
2017,13044,1,904
2017,13044,2,1173
2017,13044,3,539
2017,13044,4+,640
2017,13046,1,1014
2017,13046,2,1634
2017,13046,3,710
2017,13046,4+,1028
2017,13049,1,2683
2017,13049,2,3821
2017,13049,3,1648
2017,13049,4+,2106
2017,13053,1,1855
2017,13053,2,2474
2017,13053,3,1111
2017,13053,4+,1282
2017,23002,1,3776
2017,23002,2,4200
2017,23002,3,2081
2017,23002,4+,3075
2017,23003,1,2373
2017,23003,2,3148
2017,23003,3,1560
2017,23003,4+,2550
2017,23009,1,241
2017,23009,2,276
2017,23009,3,148
2017,23009,4+,206
2017,23016,1,4927
2017,23016,2,5572
2017,23016,3,2653
2017,23016,4+,3868
2017,23023,1,859
2017,23023,2,1259
2017,23023,3,638
2017,23023,4+,761
2017,23024,1,905
2017,23024,2,1322
2017,23024,3,626
2017,23024,4+,845
2017,23025,1,4851
2017,23025,2,4957
2017,23025,3,2317
2017,23025,4+,3316
2017,23027,1,5112
2017,23027,2,5343
2017,23027,3,2496
2017,23027,4+,3322
2017,23032,1,645
2017,23032,2,925
2017,23032,3,460
2017,23032,4+,599
2017,23033,1,1171
2017,23033,2,1389
2017,23033,3,681
2017,23033,4+,1129
2017,23038,1,1183
2017,23038,2,1620
2017,23038,3,774
2017,23038,4+,1126
2017,23039,1,1158
2017,23039,2,1394
2017,23039,3,639
2017,23039,4+,797
2017,23044,1,1475
2017,23044,2,1893
2017,23044,3,886
2017,23044,4+,1107
2017,23045,1,2086
2017,23045,2,2715
2017,23045,3,1182
2017,23045,4+,1636
2017,23047,1,1486
2017,23047,2,1579
2017,23047,3,825
2017,23047,4+,1654
2017,23050,1,2010
2017,23050,2,2674
2017,23050,3,1247
2017,23050,4+,1729
2017,23052,1,2114
2017,23052,2,2267
2017,23052,3,1014
2017,23052,4+,1446
2017,23060,1,1628
2017,23060,2,1974
2017,23060,3,909
2017,23060,4+,1337
2017,23062,1,2571
2017,23062,2,3283
2017,23062,3,1500
2017,23062,4+,2481
2017,23064,1,328
2017,23064,2,559
2017,23064,3,300
2017,23064,4+,442
2017,23077,1,3609
2017,23077,2,4262
2017,23077,3,2190
2017,23077,4+,3215
2017,23081,1,1119
2017,23081,2,1664
2017,23081,3,780
2017,23081,4+,1128
2017,23086,1,1599
2017,23086,2,2216
2017,23086,3,1039
2017,23086,4+,1399
2017,23088,1,4894
2017,23088,2,4621
2017,23088,3,2588
2017,23088,4+,4538
2017,23094,1,4482
2017,23094,2,3934
2017,23094,3,2048
2017,23094,4+,3244
2017,23096,1,2081
2017,23096,2,3306
2017,23096,3,1505
2017,23096,4+,2231
2017,23097,1,1062
2017,23097,2,1575
2017,23097,3,829
2017,23097,4+,1089
2017,23098,1,734
2017,23098,2,647
2017,23098,3,368
2017,23098,4+,488
2017,23099,1,1489
2017,23099,2,1520
2017,23099,3,828
2017,23099,4+,1443
2017,23100,1,588
2017,23100,2,573
2017,23100,3,324
2017,23100,4+,450
2017,23101,1,1736
2017,23101,2,2088
2017,23101,3,1118
2017,23101,4+,1959
2017,23102,1,2006
2017,23102,2,1984
2017,23102,3,986
2017,23102,4+,1555
2017,23103,1,1492
2017,23103,2,1588
2017,23103,3,788
2017,23103,4+,1530
2017,23104,1,864
2017,23104,2,1290
2017,23104,3,613
2017,23104,4+,797
2017,23105,1,1164
2017,23105,2,1872
2017,23105,3,871
2017,23105,4+,1258
2017,24001,1,4287
2017,24001,2,4882
2017,24001,3,1973
2017,24001,4+,2149
2017,24007,1,974
2017,24007,2,1582
2017,24007,3,680
2017,24007,4+,865
2017,24008,1,654
2017,24008,2,881
2017,24008,3,422
2017,24008,4+,545
2017,24009,1,953
2017,24009,2,1317
2017,24009,3,607
2017,24009,4+,973
2017,24011,1,963
2017,24011,2,1375
2017,24011,3,540
2017,24011,4+,994
2017,24014,1,1219
2017,24014,2,1774
2017,24014,3,763
2017,24014,4+,1137
2017,24016,1,681
2017,24016,2,1073
2017,24016,3,549
2017,24016,4+,819
2017,24020,1,3148
2017,24020,2,3622
2017,24020,3,1450
2017,24020,4+,1934
2017,24028,1,620
2017,24028,2,855
2017,24028,3,468
2017,24028,4+,518
2017,24033,1,1438
2017,24033,2,2116
2017,24033,3,926
2017,24033,4+,1337
2017,24038,1,2399
2017,24038,2,3004
2017,24038,3,1198
2017,24038,4+,2028
2017,24041,1,800
2017,24041,2,914
2017,24041,3,450
2017,24041,4+,641
2017,24043,1,999
2017,24043,2,1329
2017,24043,3,582
2017,24043,4+,997
2017,24045,1,957
2017,24045,2,1247
2017,24045,3,664
2017,24045,4+,948
2017,24048,1,1165
2017,24048,2,1944
2017,24048,3,827
2017,24048,4+,1157
2017,24054,1,777
2017,24054,2,1221
2017,24054,3,506
2017,24054,4+,706
2017,24055,1,2305
2017,24055,2,2611
2017,24055,3,1304
2017,24055,4+,1872
2017,24059,1,1932
2017,24059,2,2416
2017,24059,3,1116
2017,24059,4+,1268
2017,24062,1,23897
2017,24062,2,13483
2017,24062,3,5023
2017,24062,4+,7203
2017,24066,1,1291
2017,24066,2,2193
2017,24066,3,803
2017,24066,4+,1337
2017,24086,1,968
2017,24086,2,1553
2017,24086,3,651
2017,24086,4+,1129
2017,24094,1,1614
2017,24094,2,2332
2017,24094,3,1044
2017,24094,4+,1599
2017,24104,1,2379
2017,24104,2,2767
2017,24104,3,1271
2017,24104,4+,2264
2017,24107,1,5233
2017,24107,2,5130
2017,24107,3,2201
2017,24107,4+,2543
2017,24109,1,1522
2017,24109,2,2287
2017,24109,3,1013
2017,24109,4+,1204
2017,24130,1,969
2017,24130,2,1272
2017,24130,3,632
2017,24130,4+,670
2017,24133,1,724
2017,24133,2,1120
2017,24133,3,498
2017,24133,4+,619
2017,24134,1,2871
2017,24134,2,3765
2017,24134,3,1636
2017,24134,4+,1690
2017,24135,1,1172
2017,24135,2,1547
2017,24135,3,718
2017,24135,4+,967
2017,24137,1,473
2017,24137,2,780
2017,24137,3,369
2017,24137,4+,482
2017,31003,1,1623
2017,31003,2,2386
2017,31003,3,937
2017,31003,4+,1363
2017,31004,1,4478
2017,31004,2,3884
2017,31004,3,1101
2017,31004,4+,998
2017,31005,1,19549
2017,31005,2,18805
2017,31005,3,7009
2017,31005,4+,8540
2017,31006,1,1166
2017,31006,2,1767
2017,31006,3,690
2017,31006,4+,930
2017,31012,1,1361
2017,31012,2,2199
2017,31012,3,954
2017,31012,4+,1194
2017,31022,1,2498
2017,31022,2,3644
2017,31022,3,1415
2017,31022,4+,2078
2017,31033,1,2566
2017,31033,2,3280
2017,31033,3,1265
2017,31033,4+,1668
2017,31040,1,2119
2017,31040,2,3497
2017,31040,3,1541
2017,31040,4+,1989
2017,31042,1,279
2017,31042,2,472
2017,31042,3,175
2017,31042,4+,235
2017,31043,1,6776
2017,31043,2,6441
2017,31043,3,1791
2017,31043,4+,1779
2017,32003,1,2195
2017,32003,2,2535
2017,32003,3,1029
2017,32003,4+,1404
2017,32006,1,1131
2017,32006,2,1368
2017,32006,3,695
2017,32006,4+,882
2017,32010,1,1061
2017,32010,2,1351
2017,32010,3,619
2017,32010,4+,699
2017,32011,1,1347
2017,32011,2,1940
2017,32011,3,795
2017,32011,4+,1068
2017,32030,1,312
2017,32030,2,434
2017,32030,3,160
2017,32030,4+,340
2017,33011,1,5045
2017,33011,2,5405
2017,33011,3,2066
2017,33011,4+,2813
2017,33016,1,133
2017,33016,2,161
2017,33016,3,66
2017,33016,4+,88
2017,33021,1,2497
2017,33021,2,2900
2017,33021,3,1143
2017,33021,4+,1737
2017,33029,1,2249
2017,33029,2,2814
2017,33029,3,1150
2017,33029,4+,1587
2017,33037,1,1304
2017,33037,2,1734
2017,33037,3,734
2017,33037,4+,1186
2017,33039,1,1006
2017,33039,2,1124
2017,33039,3,454
2017,33039,4+,702
2017,33040,1,812
2017,33040,2,1156
2017,33040,3,461
2017,33040,4+,763
2017,33041,1,365
2017,33041,2,500
2017,33041,3,212
2017,33041,4+,353
2017,34002,1,1471
2017,34002,2,2183
2017,34002,3,919
2017,34002,4+,1341
2017,34003,1,1313
2017,34003,2,1477
2017,34003,3,661
2017,34003,4+,830
2017,34009,1,1328
2017,34009,2,1811
2017,34009,3,742
2017,34009,4+,1012
2017,34013,1,3538
2017,34013,2,4491
2017,34013,3,1792
2017,34013,4+,2173
2017,34022,1,11507
2017,34022,2,10965
2017,34022,3,4143
2017,34022,4+,6140
2017,34023,1,1622
2017,34023,2,2069
2017,34023,3,817
2017,34023,4+,1086
2017,34025,1,648
2017,34025,2,896
2017,34025,3,356
2017,34025,4+,495
2017,34027,1,4766
2017,34027,2,4931
2017,34027,3,2023
2017,34027,4+,2609
2017,34040,1,4619
2017,34040,2,5888
2017,34040,3,2394
2017,34040,4+,3152
2017,34041,1,3642
2017,34041,2,4870
2017,34041,3,1931
2017,34041,4+,2748
2017,34042,1,2709
2017,34042,2,3770
2017,34042,3,1537
2017,34042,4+,2167
2017,34043,1,272
2017,34043,2,274
2017,34043,3,133
2017,34043,4+,210
2017,35002,1,2463
2017,35002,2,2937
2017,35002,3,1194
2017,35002,4+,1250
2017,35005,1,1416
2017,35005,2,1841
2017,35005,3,782
2017,35005,4+,1013
2017,35006,1,1482
2017,35006,2,2214
2017,35006,3,943
2017,35006,4+,1163
2017,35011,1,4197
2017,35011,2,3651
2017,35011,3,967
2017,35011,4+,1037
2017,35013,1,16665
2017,35013,2,11900
2017,35013,3,3757
2017,35013,4+,4075
2017,35014,1,973
2017,35014,2,1547
2017,35014,3,660
2017,35014,4+,740
2017,35029,1,2504
2017,35029,2,2406
2017,35029,3,678
2017,35029,4+,724
2017,36006,1,989
2017,36006,2,1453
2017,36006,3,652
2017,36006,4+,918
2017,36007,1,1232
2017,36007,2,1656
2017,36007,3,695
2017,36007,4+,923
2017,36008,1,3827
2017,36008,2,4395
2017,36008,3,1744
2017,36008,4+,2172
2017,36010,1,1046
2017,36010,2,1432
2017,36010,3,593
2017,36010,4+,877
2017,36011,1,929
2017,36011,2,1367
2017,36011,3,566
2017,36011,4+,768
2017,36012,1,1252
2017,36012,2,1641
2017,36012,3,692
2017,36012,4+,968
2017,36015,1,8647
2017,36015,2,9374
2017,36015,3,3731
2017,36015,4+,5085
2017,36019,1,1213
2017,36019,2,1622
2017,36019,3,722
2017,36019,4+,1023
2017,37002,1,859
2017,37002,2,1165
2017,37002,3,560
2017,37002,4+,767
2017,37007,1,1298
2017,37007,2,1662
2017,37007,3,733
2017,37007,4+,941
2017,37010,1,803
2017,37010,2,1180
2017,37010,3,508
2017,37010,4+,703
2017,37011,1,705
2017,37011,2,1027
2017,37011,3,399
2017,37011,4+,606
2017,37012,1,567
2017,37012,2,803
2017,37012,3,341
2017,37012,4+,475
2017,37015,1,2614
2017,37015,2,3110
2017,37015,3,1240
2017,37015,4+,1674
2017,37017,1,936
2017,37017,2,1349
2017,37017,3,620
2017,37017,4+,928
2017,37018,1,1444
2017,37018,2,2011
2017,37018,3,939
2017,37018,4+,1310
2017,37020,1,1077
2017,37020,2,1409
2017,37020,3,582
2017,37020,4+,744
2017,38002,1,559
2017,38002,2,628
2017,38002,3,326
2017,38002,4+,499
2017,38008,1,2409
2017,38008,2,1904
2017,38008,3,590
2017,38008,4+,633
2017,38014,1,4496
2017,38014,2,4710
2017,38014,3,998
2017,38014,4+,1151
2017,38016,1,2502
2017,38016,2,2269
2017,38016,3,536
2017,38016,4+,579
2017,38025,1,1642
2017,38025,2,1938
2017,38025,3,702
2017,38025,4+,880
2017,41002,1,13050
2017,41002,2,12557
2017,41002,3,5454
2017,41002,4+,6495
2017,41011,1,2306
2017,41011,2,2842
2017,41011,3,1307
2017,41011,4+,1709
2017,41018,1,4545
2017,41018,2,4889
2017,41018,3,2382
2017,41018,4+,2543
2017,41024,1,2255
2017,41024,2,2823
2017,41024,3,1378
2017,41024,4+,1401
2017,41027,1,2029
2017,41027,2,2579
2017,41027,3,1336
2017,41027,4+,1440
2017,41034,1,2316
2017,41034,2,2846
2017,41034,3,1241
2017,41034,4+,1497
2017,41048,1,4743
2017,41048,2,5694
2017,41048,3,2644
2017,41048,4+,3128
2017,41063,1,1141
2017,41063,2,1519
2017,41063,3,737
2017,41063,4+,861
2017,41081,1,3690
2017,41081,2,4044
2017,41081,3,1797
2017,41081,4+,2002
2017,41082,1,2440
2017,41082,2,3098
2017,41082,3,1386
2017,41082,4+,1516
2017,42003,1,1761
2017,42003,2,2310
2017,42003,3,993
2017,42003,4+,1199
2017,42004,1,1611
2017,42004,2,2241
2017,42004,3,972
2017,42004,4+,1232
2017,42006,1,6570
2017,42006,2,6974
2017,42006,3,2974
2017,42006,4+,3479
2017,42008,1,3077
2017,42008,2,3625
2017,42008,3,1608
2017,42008,4+,2091
2017,42010,1,1415
2017,42010,2,2006
2017,42010,3,816
2017,42010,4+,1048
2017,42011,1,2384
2017,42011,2,2784
2017,42011,3,1335
2017,42011,4+,1568
2017,42023,1,1117
2017,42023,2,1673
2017,42023,3,669
2017,42023,4+,937
2017,42025,1,3584
2017,42025,2,3940
2017,42025,3,1578
2017,42025,4+,1938
2017,42026,1,1452
2017,42026,2,1836
2017,42026,3,774
2017,42026,4+,927
2017,42028,1,2301
2017,42028,2,2908
2017,42028,3,1223
2017,42028,4+,1965
2017,43002,1,1745
2017,43002,2,2216
2017,43002,3,898
2017,43002,4+,1146
2017,43005,1,3460
2017,43005,2,3181
2017,43005,3,1349
2017,43005,4+,1455
2017,43007,1,681
2017,43007,2,961
2017,43007,3,423
2017,43007,4+,550
2017,43010,1,2825
2017,43010,2,3699
2017,43010,3,1550
2017,43010,4+,1944
2017,43014,1,851
2017,43014,2,1051
2017,43014,3,447
2017,43014,4+,527
2017,43018,1,1771
2017,43018,2,1881
2017,43018,3,862
2017,43018,4+,913
2017,44012,1,1039
2017,44012,2,1597
2017,44012,3,662
2017,44012,4+,983
2017,44013,1,2140
2017,44013,2,2829
2017,44013,3,1060
2017,44013,4+,1553
2017,44019,1,3688
2017,44019,2,5427
2017,44019,3,2344
2017,44019,4+,2884
2017,44020,1,1437
2017,44020,2,1943
2017,44020,3,916
2017,44020,4+,1054
2017,44021,1,50356
2017,44021,2,35111
2017,44021,3,13883
2017,44021,4+,20196
2017,44034,1,2092
2017,44034,2,3221
2017,44034,3,1474
2017,44034,4+,2060
2017,44040,1,1309
2017,44040,2,1666
2017,44040,3,713
2017,44040,4+,982
2017,44043,1,2855
2017,44043,2,3644
2017,44043,3,1525
2017,44043,4+,2166
2017,44045,1,728
2017,44045,2,974
2017,44045,3,418
2017,44045,4+,552
2017,44048,1,1254
2017,44048,2,1744
2017,44048,3,730
2017,44048,4+,985
2017,44052,1,1332
2017,44052,2,1910
2017,44052,3,950
2017,44052,4+,1235
2017,44064,1,978
2017,44064,2,1274
2017,44064,3,507
2017,44064,4+,770
2017,44073,1,807
2017,44073,2,1156
2017,44073,3,490
2017,44073,4+,622
2017,44081,1,1753
2017,44081,2,2262
2017,44081,3,1068
2017,44081,4+,1404
2017,44083,1,5255
2017,44083,2,6369
2017,44083,3,2630
2017,44083,4+,3840
2017,44084,1,3232
2017,44084,2,4343
2017,44084,3,1834
2017,44084,4+,2495
2017,44085,1,2960
2017,44085,2,4206
2017,44085,3,1642
2017,44085,4+,2085
2017,45035,1,4369
2017,45035,2,4672
2017,45035,3,1931
2017,45035,4+,2524
2017,45041,1,3521
2017,45041,2,3346
2017,45041,3,1457
2017,45041,4+,2361
2017,45059,1,1753
2017,45059,2,2225
2017,45059,3,1022
2017,45059,4+,1181
2017,45060,1,804
2017,45060,2,942
2017,45060,3,394
2017,45060,4+,558
2017,45061,1,604
2017,45061,2,887
2017,45061,3,444
2017,45061,4+,608
2017,45062,1,178
2017,45062,2,272
2017,45062,3,138
2017,45062,4+,168
2017,45063,1,645
2017,45063,2,977
2017,45063,3,467
2017,45063,4+,593
2017,45064,1,526
2017,45064,2,880
2017,45064,3,389
2017,45064,4+,609
2017,45065,1,808
2017,45065,2,1194
2017,45065,3,517
2017,45065,4+,752
2017,45068,1,1623
2017,45068,2,2165
2017,45068,3,1040
2017,45068,4+,1478
2017,46003,1,5505
2017,46003,2,7340
2017,46003,3,3069
2017,46003,4+,4054
2017,46013,1,1838
2017,46013,2,2388
2017,46013,3,1006
2017,46013,4+,1528
2017,46014,1,4824
2017,46014,2,5612
2017,46014,3,2527
2017,46014,4+,3723
2017,46020,1,1896
2017,46020,2,2879
2017,46020,3,1250
2017,46020,4+,1718
2017,46021,1,10631
2017,46021,2,10769
2017,46021,3,4274
2017,46021,4+,6442
2017,46024,1,2038
2017,46024,2,2813
2017,46024,3,1216
2017,46024,4+,1506
2017,46025,1,3542
2017,46025,2,4355
2017,46025,3,1816
2017,46025,4+,2526
2017,71002,1,792
2017,71002,2,1149
2017,71002,3,584
2017,71002,4+,768
2017,71004,1,4265
2017,71004,2,6116
2017,71004,3,3070
2017,71004,4+,4370
2017,71011,1,2162
2017,71011,2,2837
2017,71011,3,1265
2017,71011,4+,1656
2017,71016,1,7401
2017,71016,2,8145
2017,71016,3,4127
2017,71016,4+,6321
2017,71017,1,828
2017,71017,2,1208
2017,71017,3,645
2017,71017,4+,716
2017,71020,1,1058
2017,71020,2,1454
2017,71020,3,605
2017,71020,4+,827
2017,71022,1,12713
2017,71022,2,12194
2017,71022,3,4555
2017,71022,4+,5662
2017,71024,1,1352
2017,71024,2,1875
2017,71024,3,890
2017,71024,4+,1104
2017,71034,1,2013
2017,71034,2,2266
2017,71034,3,993
2017,71034,4+,1319
2017,71037,1,1472
2017,71037,2,2327
2017,71037,3,1006
2017,71037,4+,1257
2017,71045,1,715
2017,71045,2,1048
2017,71045,3,510
2017,71045,4+,588
2017,71053,1,5708
2017,71053,2,6260
2017,71053,3,2748
2017,71053,4+,2919
2017,71057,1,2140
2017,71057,2,2869
2017,71057,3,1240
2017,71057,4+,1559
2017,71066,1,2222
2017,71066,2,3011
2017,71066,3,1582
2017,71066,4+,1865
2017,71067,1,744
2017,71067,2,1118
2017,71067,3,525
2017,71067,4+,611
2017,71069,1,1081
2017,71069,2,1684
2017,71069,3,735
2017,71069,4+,911
2017,71070,1,3140
2017,71070,2,4432
2017,71070,3,2097
2017,71070,4+,3231
2017,72003,1,1291
2017,72003,2,1995
2017,72003,3,875
2017,72003,4+,1142
2017,72004,1,1935
2017,72004,2,2384
2017,72004,3,1034
2017,72004,4+,1353
2017,72018,1,1051
2017,72018,2,1848
2017,72018,3,831
2017,72018,4+,1139
2017,72020,1,3561
2017,72020,2,5413
2017,72020,3,2108
2017,72020,4+,2949
2017,72021,1,3044
2017,72021,2,3764
2017,72021,3,1656
2017,72021,4+,2164
2017,72030,1,1828
2017,72030,2,2342
2017,72030,3,1046
2017,72030,4+,1505
2017,72037,1,1590
2017,72037,2,2150
2017,72037,3,852
2017,72037,4+,1298
2017,72038,1,1229
2017,72038,2,1804
2017,72038,3,794
2017,72038,4+,1125
2017,72039,1,2750
2017,72039,2,4002
2017,72039,3,2080
2017,72039,4+,2952
2017,72041,1,2069
2017,72041,2,2922
2017,72041,3,1453
2017,72041,4+,1790
2017,72042,1,2030
2017,72042,2,3392
2017,72042,3,1566
2017,72042,4+,2240
2017,72043,1,3635
2017,72043,2,4926
2017,72043,3,2027
2017,72043,4+,2848
2017,73001,1,1132
2017,73001,2,1653
2017,73001,3,774
2017,73001,4+,1065
2017,73006,1,3703
2017,73006,2,4547
2017,73006,3,2149
2017,73006,4+,2849
2017,73009,1,1181
2017,73009,2,1608
2017,73009,3,787
2017,73009,4+,867
2017,73022,1,738
2017,73022,2,1071
2017,73022,3,553
2017,73022,4+,595
2017,73028,1,9
2017,73028,2,10
2017,73028,3,4
2017,73028,4+,11
2017,73032,1,1030
2017,73032,2,1377
2017,73032,3,682
2017,73032,4+,872
2017,73040,1,834
2017,73040,2,1277
2017,73040,3,604
2017,73040,4+,711
2017,73042,1,3147
2017,73042,2,4009
2017,73042,3,1764
2017,73042,4+,2030
2017,73066,1,1757
2017,73066,2,2427
2017,73066,3,1191
2017,73066,4+,1419
2017,73083,1,4146
2017,73083,2,4610
2017,73083,3,2282
2017,73083,4+,2300
2017,73098,1,760
2017,73098,2,1162
2017,73098,3,576
2017,73098,4+,586
2017,73107,1,4070
2017,73107,2,4942
2017,73107,3,2613
2017,73107,4+,3501
2017,73109,1,479
2017,73109,2,622
2017,73109,3,253
2017,73109,4+,356
2018,11001,1,1522
2018,11001,2,2416
2018,11001,3,840
2018,11001,4+,1179
2018,11002,1,102176
2018,11002,2,63677
2018,11002,3,26080
2018,11002,4+,42534
2018,11004,1,1470
2018,11004,2,1849
2018,11004,3,780
2018,11004,4+,1200
2018,11005,1,2543
2018,11005,2,2346
2018,11005,3,1045
2018,11005,4+,1534
2018,11007,1,1543
2018,11007,2,1598
2018,11007,3,690
2018,11007,4+,845
2018,11008,1,4622
2018,11008,2,6134
2018,11008,3,2253
2018,11008,4+,3092
2018,11009,1,2694
2018,11009,2,4474
2018,11009,3,1917
2018,11009,4+,2569
2018,11013,1,3221
2018,11013,2,3413
2018,11013,3,1241
2018,11013,4+,1804
2018,11016,1,1972
2018,11016,2,2747
2018,11016,3,1133
2018,11016,4+,1807
2018,11018,1,1304
2018,11018,2,1616
2018,11018,3,747
2018,11018,4+,1004
2018,11021,1,854
2018,11021,2,1181
2018,11021,3,446
2018,11021,4+,775
2018,11022,1,2052
2018,11022,2,2704
2018,11022,3,1050
2018,11022,4+,1749
2018,11023,1,3029
2018,11023,2,4179
2018,11023,3,1598
2018,11023,4+,2316
2018,11024,1,2377
2018,11024,2,3077
2018,11024,3,1264
2018,11024,4+,1969
2018,11025,1,793
2018,11025,2,1318
2018,11025,3,546
2018,11025,4+,825
2018,11029,1,3987
2018,11029,2,3529
2018,11029,3,1492
